m_id,title_ja,title_en,title_zh,title_ko,description_ja,description_en,description_zh,description_ko,target_ids,sort_order
m-001,日本100名城制覇,Japan's Top 100 Castles,日本100名城巡礼,일본 100대 명성 제패,日本城郭協会が選定した、歴史・文化的に重要な100の名城を巡る旅。,A journey to visit the 100 most historically and culturally significant castles selected by the Japan Castle Foundation.,游览由日本城郭协会选定的，在历史和文化上具有重要意义の100座名城。,"일본 성곽 협회가 선정한 역사적, 문화적으로 중요한 100대 명성을 방문하는 여정.","castle-01-0013,castle-01-2055,castle-01-0001,castle-02-0042,castle-02-0021,castle-03-0069,castle-04-0114,castle-04-0095,castle-05-0144,castle-06-0151,castle-07-0212,castle-07-2057,castle-07-0192,castle-08-0234,castle-09-2058,castle-10-0332,castle-10-0325,castle-11-0357,castle-11-0336,castle-12-0420,castle-13-0474,castle-13-0486,castle-14-0498,castle-19-2059,castle-19-0702,castle-20-0760,castle-20-0717,castle-20-0718,castle-20-0716,castle-20-0761,castle-15-0556,castle-15-0533,castle-16-0609,castle-17-0662,castle-17-0637,castle-18-0691,castle-18-0685,castle-21-0813,castle-21-0801,castle-22-0933,castle-22-0920,castle-22-0940,castle-23-0962,castle-23-0995,castle-23-1011,castle-23-1026,castle-24-1060,castle-24-1048,castle-25-1074,castle-25-1071,castle-25-1072,castle-25-1088,castle-26-1108,castle-27-1137,castle-27-1184,castle-28-1212,castle-28-1207,castle-28-1222,castle-28-1219,castle-28-1234,castle-29-1249,castle-30-1272,castle-31-1300,castle-32-1400,castle-32-1399,castle-32-1421,castle-33-1458,castle-33-1467,castle-33-1469,castle-33-1435,castle-34-1518,castle-34-1488,castle-34-1486,castle-35-1546,castle-35-1548,castle-36-1560,castle-37-1584,castle-37-1585,castle-38-1605,castle-38-1606,castle-38-1604,castle-38-1631,castle-38-1630,castle-39-1656,castle-40-1671,castle-40-1697,castle-41-1724,castle-41-2061,castle-41-1723,castle-42-1775,castle-42-1753,castle-43-1796,castle-43-1809,castle-44-2062,castle-44-1824,castle-45-1844,castle-46-1896,castle-47-1986,castle-47-1929,castle-47-1928",1
m-002,続日本100名城制覇,Continued Top 100 Castles,续日本100名城巡礼,속 일본 100대 명성 제패,100名城に続き選定された、通をも唸らせるさらなる100の名城を攻略する。,Conquer the additional 100 remarkable castles selected following the original Top 100 list.,攻略继100名城之后选定、深得城郭爱好者喜爱的另外100座名城。,"100대 명성에 이어 선정된, 성곽 애호가들을 매료시키는 추가 100대 명성을 공략하세요.","castle-01-2066,castle-01-2067,castle-02-0037,castle-03-0060,castle-04-0096,castle-05-0136,castle-05-0143,castle-06-0166,castle-06-0190,castle-07-0202,castle-07-2068,castle-08-0239,castle-08-0245,castle-09-2069,castle-10-0326,castle-10-0327,castle-10-0315,castle-11-0361,castle-11-0345,castle-11-0365,castle-12-0420,castle-12-0385,castle-13-0489,castle-13-2070,castle-14-0522,castle-14-0509,castle-19-0703,castle-19-0712,castle-20-0739,castle-20-0779,castle-15-0543,castle-15-0535,castle-15-2071,castle-16-0581,castle-16-0604,castle-17-0641,castle-18-0686,castle-18-0694,castle-18-0699,castle-18-0690,castle-21-0802,castle-21-0865,castle-21-0817,castle-21-0845,castle-22-0926,castle-22-0948,castle-22-0943,castle-22-0941,castle-23-0987,castle-23-1019,castle-23-1035,castle-24-1044,castle-24-2072,castle-24-1043,castle-24-1066,castle-25-1083,castle-25-1090,castle-26-1124,castle-27-1141,castle-27-1172,castle-27-1161,castle-28-1211,castle-28-1206,castle-28-1248,castle-29-1258,castle-29-1260,castle-30-1273,castle-31-2073,castle-31-1380,castle-32-1423,castle-33-1468,castle-34-1527,castle-34-1502,castle-35-2074,castle-36-1575,castle-36-1561,castle-37-1587,castle-38-1636,castle-38-1647,castle-39-1655,castle-40-1672,castle-40-1676,castle-40-1673,castle-41-1727,castle-41-1725,castle-42-1757,castle-42-2075,castle-42-1753,castle-43-1802,castle-43-1812,castle-44-1820,castle-44-1842,castle-44-1834,castle-44-1835,castle-45-1847,castle-45-1858,castle-46-1926,castle-46-1909,castle-47-1932,castle-47-1930",2
m-003,国宝現存五天守,National Treasure Castles,国宝现存五天守,국보 현존 5천수,江戸時代から残る貴重な5つの国宝天守を巡る。,Visit the 5 castles designated as National Treasures in Japan.,游览日本仅存的5座被指定为国宝的江户时代天守。,에도 시대부터 남아 있는 귀중한 5개의 국보 천수각을 방문하세요.,"castle-20-0716,castle-25-1071,castle-28-1219,castle-32-1400,castle-23-0962",3
m-011,現存12天守,The 12 Existing Original Towers,现存12天守,현존 12천수,日本全国に残る12の現存天守を一通り巡る。,Visit all 12 surviving original castle towers across Japan.,游览留存于日本全国的12座现存天守。,일본 전역에 남아 있는 12개의 현존 천수각을 모두 방문하세요.,"castle-02-0042,castle-20-0716,castle-18-0691,castle-23-0962,castle-25-1071,castle-37-1585,castle-38-1604,castle-38-1630,castle-39-1656,castle-43-1796,castle-46-1896,castle-40-1671",4
m-022,日本三大名城,The Three Great Castles,日本三大名城,일본 3대 명성,日本を代表する壮麗な三つの城（名古屋・大坂・熊本）を制覇。,Visit the three most iconic grand castles of Japan.,征服代表日本的壮丽三城（名古屋、大坂、熊本）。,"일본을 대표하는 웅장한 세 성(나고야, 오사카, 구마모토)을 정복하세요.","castle-23-0995,castle-27-1137,castle-43-1796",5
m-014,天空の城：山城紀行,Castles in the Sky,天空之城：山城纪行,천공의 성: 산성 기행,雲海に浮かぶ幻想的な山城の美しさを体験する。,Visit the breathtaking mountain castles high above the clouds.,体验漂浮在云海之上的梦幻山城之美。,운해 위에 떠 있는 환상적인 산성의 아름다움을 체험해 보세요.,"castle-28-1212,castle-33-1467,castle-21-0813",6
m-015,水に浮かぶ城：海城散策,Floating Castles,水上之城：海城散步,물 위에 뜬 성: 해성 산책,堀に海水を湛える美しい水城の風情を楽しむ。,Experience the unique atmosphere of castles built on water.,欣赏护城河内引入海水的绝美水城风情。,해수를 채운 아름다운 수성의 풍취를 즐겨보세요.,"castle-37-1584,castle-38-1605,castle-35-1551",7
m-021,幕末維新の舞台,The Meiji Restoration Sites,幕末维新之舞台,막말 유신 연대기,激動の歴史を刻んだ幕末ゆかりの城を巡る。,Visit sites that played key roles in the fall of the Shogunate.,游览铭刻激荡历史的幕末相关名城。,격동의 역사를 간직한 막말 시기 관련 성들을 둘러보세요.,"castle-01-0002,castle-07-0191,castle-35-1548",8
m-081,北海道の名城巡り,Hokkaido Castle Tour,北海道名城游,홋카이도 명성 투어,広大な北の大地に点在する歴史的な拠点を訪ねる。,Explore the historic strongholds in the vast north.,探访散布在广袤北方大地上的历史据点。,광활한 북쪽 대지에 점재하는 역사적 거점들을 방문하세요.,"castle-01-0001,castle-01-0002",9
m-082,東北の巨城,Grand Castles of Tohoku,东北巨城,동북 지방의 거성,みちのくの誇りを感じる東北地方の代表的な名城。,Visit the representative grand castles of the Tohoku region.,感受陆奥骄傲的东北地区代表性名城。,미치노쿠의 자부심을 느낄 수 있는 동북 지방의 대표적인 성들.,"castle-02-0042,castle-04-0095,castle-07-0191",10
